datetime,open,high,low,close,volume
2026-08-10 20:00:00,1.15415,1.15438,1.15415,1.15438,0
2026-08-10 21:00:00,1.15438,1.15471,1.15422,1.15425,0
2026-08-10 22:00:00,1.15426,1.15443,1.15423,1.15438,0
2026-08-10 23:00:00,1.15438,1.15467,1.15424,1.15461,0
2026-08-11 00:00:00,1.15461,1.15497,1.15455,1.15462,0
2026-08-11 01:00:00,1.15462,1.15498,1.15431,1.15463,0
2026-08-11 02:00:00,1.15463,1.15464,1.15388,1.15398,0
2026-08-11 03:00:00,1.15399,1.15451,1.15396,1.15429,0
2026-08-11 04:00:00,1.15429,1.15453,1.15393,1.15429,0
2026-08-11 05:00:00,1.15428,1.1543,1.15388,1.15411,0
2026-08-11 06:00:00,1.15411,1.15435,1.1533,1.15365,0
2026-08-11 07:00:00,1.15366,1.15401,1.15319,1.15321,0
2026-08-11 08:00:00,1.15321,1.15387,1.15315,1.15362,0
2026-08-11 09:00:00,1.15363,1.15374,1.1533,1.15372,0
2026-08-11 10:00:00,1.15372,1.15384,1.15335,1.15366,0
2026-08-11 11:00:00,1.15366,1.15436,1.15346,1.15364,0
2026-08-11 12:00:00,1.15365,1.15442,1.1534,1.15415,0
2026-08-11 13:00:00,1.15415,1.15484,1.15392,1.15442,0
2026-08-11 14:00:00,1.1544,1.15441,1.15379,1.15426,0
2026-08-11 15:00:00,1.15426,1.15447,1.15366,1.15426,0
2026-08-11 16:00:00,1.1543,1.15436,1.15392,1.15395,0
2026-08-11 17:00:00,1.15395,1.15402,1.15344,1.1538,0
2026-08-11 18:00:00,1.1538,1.15422,1.15355,1.15405,0
2026-08-11 19:00:00,1.15406,1.1543,1.154,1.15428,0
2026-08-11 20:00:00,1.15429,1.15437,1.15395,1.15424,0
2026-08-11 21:00:00,1.15418,1.15418,1.15396,1.15407,0
2026-08-11 22:00:00,1.15407,1.15435,1.15407,1.15435,0
2026-08-11 23:00:00,1.15435,1.15437,1.15413,1.15436,0
2026-08-12 00:00:00,1.15436,1.15448,1.15396,1.15408,0
2026-08-12 01:00:00,1.15408,1.15409,1.15367,1.15384,0
2026-08-12 02:00:00,1.15384,1.15401,1.15353,1.15385,0
2026-08-12 03:00:00,1.15385,1.15386,1.15351,1.15355,0
2026-08-12 04:00:00,1.15355,1.15365,1.15331,1.15359,0
2026-08-12 05:00:00,1.15359,1.15359,1.15323,1.15341,0
2026-08-12 06:00:00,1.15339,1.15372,1.15335,1.15372,0
2026-08-12 07:00:00,1.15373,1.15395,1.1536,1.15375,0
2026-08-12 08:00:00,1.15375,1.15401,1.15346,1.15373,0
2026-08-12 09:00:00,1.15373,1.15497,1.15349,1.15363,0
2026-08-12 10:00:00,1.15362,1.15391,1.15327,1.1535,0
2026-08-12 11:00:00,1.1535,1.15455,1.1534,1.15435,0
2026-08-12 12:00:00,1.15435,1.15597,1.1534,1.15596,0
2026-08-12 13:00:00,1.15595,1.15629,1.15461,1.15521,0
2026-08-12 14:00:00,1.15522,1.15544,1.15392,1.15431,0
2026-08-12 15:00:00,1.15431,1.1544,1.15353,1.15395,0
2026-08-12 16:00:00,1.15395,1.15401,1.15248,1.15282,0
2026-08-12 17:00:00,1.15281,1.15307,1.15214,1.15215,0
2026-08-12 18:00:00,1.15215,1.1527,1.152,1.15211,0
2026-08-12 19:00:00,1.15211,1.15247,1.15199,1.15223,0
2026-08-12 20:00:00,1.15224,1.15263,1.15215,1.15254,0
2026-08-12 21:00:00,1.1526,1.15305,1.15223,1.15229,0
2026-08-12 22:00:00,1.15229,1.1527,1.15229,1.15268,0
2026-08-12 23:00:00,1.15268,1.15279,1.15264,1.15279,0
2026-08-13 00:00:00,1.15279,1.15314,1.15267,1.1529,0
2026-08-13 01:00:00,1.1529,1.15311,1.15236,1.15249,0
2026-08-13 02:00:00,1.15249,1.15256,1.152,1.15218,0
2026-08-13 03:00:00,1.15218,1.15243,1.15202,1.15226,0
2026-08-13 04:00:00,1.15226,1.1527,1.15201,1.1526,0
2026-08-13 05:00:00,1.1526,1.15272,1.15234,1.15251,0
2026-08-13 06:00:00,1.15251,1.15261,1.15119,1.15183,0
2026-08-13 07:00:00,1.15183,1.15278,1.1517,1.15258,0
2026-08-13 08:00:00,1.15257,1.15286,1.15227,1.15242,0
2026-08-13 09:00:00,1.15241,1.15347,1.15233,1.15347,0
2026-08-13 10:00:00,1.15345,1.15386,1.15339,1.1536,0
2026-08-13 11:00:00,1.15359,1.15387,1.15326,1.15339,0
2026-08-13 12:00:00,1.15341,1.15444,1.15259,1.1544,0
2026-08-13 13:00:00,1.15439,1.15453,1.15307,1.15338,0
2026-08-13 14:00:00,1.15343,1.15455,1.15316,1.15441,0
2026-08-13 15:00:00,1.1544,1.15454,1.15302,1.15305,0
2026-08-13 16:00:00,1.15306,1.15329,1.15244,1.15298,0
2026-08-13 17:00:00,1.15296,1.15315,1.15258,1.15279,0
2026-08-13 18:00:00,1.1528,1.15322,1.15265,1.1529,0
2026-08-13 19:00:00,1.1529,1.15314,1.15276,1.15289,0
